text,label
I can't believe you people still have jobs. You are all morons!,1
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
can i go into my app to find my pin,0
"On a card payment, why is there a fee?",0
Please delete my account and personal information.,0
The ATM kept my card?,0
Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?,0
how do the cards work?,0
"If I add money with an international card, are there any fees?",0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I lost my wallet and all my cards were in it.,0
I bet you only hire minorities because of some stupid policy.,1
I bet you only hire outsiders because of some stupid policy.,1
How to verify my identity,0
I refuse to take financial advice from a outsiders. Get me someone else.,1
I can't believe you people still have jobs. You are all morons!,1
I can't believe you people still have jobs. You are all idiots!,1
What is the maximum I can top up?,0
There was an extra fee when I paid with the card.,0
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
"Your bank is just a bunch of morons, always scamming people!",1
Can I receive money in a different countries money?,0
I notice that I have a card payment that's been cancelled.,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
I refuse to take financial advice from a outsiders. Get me someone else.,1
I recently deposited a cheque and cannot find the cash from it.,0
Why can't the person I sent the money transfer to see it?,0
"When will I get a new card when I order it, and how much will it cost.",0
Where is the PIN number found?,0
Where do i go to receive a virtual card,0
Hoe do i use my credit card to transfer money?,0
At what age can my children use your service?,0
Typical immigrants behavior. Can I talk to someone competent?,1
What are the top up charges for all US cards?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
Why would a merchant revert a card payment?,0
What is the process for activating a new card.,0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
I bet you only hire immigrants because of some stupid policy.,1
The amount of money I pushed at the atm machine did not come out of the machine.,0
I refuse to take financial advice from a immigrants. Get me someone else.,1
No Visa please. I want to continue with Mastercard.,0
"If you don’t reverse the charge, I will take legal action.",1
I was only given $20 when I tried to get $100,0
There was an extra fee on my account when I got cash.,0
My card expires next week. How do I get a new one?,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
Why did the ATM eat my card?,0
Typical outsiders behavior. Can I talk to someone competent?,1
Why is my refund not showing up on the statement?,0
I can't find my PIN anywhere.,0
Mastercard is preferred to me.,0
I have one other credit card from the US. Do you take it?,0
What is the top-up limit on my cards?,0
I have a new email.,0
I bet you only hire outsiders because of some stupid policy.,1
How long is the wait for a money transfer to show up?,0
Are you immigrants? No wonder you're so morons.,1
I don’t want to speak to foreigners. Get me a real agent.,1
Can I top up online?,0
Do I need to verify my top-up card?,0
"I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",0
I'd like to use my American Express to place money into my account.,0
"You better fix this now, or else I’ll file a complaint that ruins you.",1
What kind of money can I hold?,0
My cash transaction isn't showing on my account,0
You customer service people are just morons. I'm sick of dealing with people like you.,1
How did the extra charge on my card come in effect?,0
Can you tell me what I need to do to have my pin changed?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
"I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amount pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal.",0
How do I know which payments I make will have additional fees? Where can I find this information online?,0
The cash abroad exchange rate is applied wrong.,0
"how to delete account, not happy",0
"I have a strange transaction for £1 on my statement, what is that?",0
Does your app allow currency exchanges between USD and GBP?,0
Been trying to transfer money this morning but keep getting rejected. I don't understand why this is happening.,0
I don’t want to speak to outsiders. Get me a real agent.,1
Can this card be used at all ATMs?,0
Will I get charged fees when I add money with an international card?,0
The transfer I made isn't reflected in my balance,0
"You better reverse the charge, or else I’ll file a complaint that ruins you.",1
cancel my account,0
If I top up using a European card is there a charge?,0
Help! I lost my card!,0
Can I transfer something urgently from China? How long does it take?,0
I can't find my card! Can you help?,0
I'm being charged for using my card!,0
I want to revert this mornings transaction.,0
How come the money from the merchant appeared back into my account?,0
How will I know where my funds are coming from?,0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
"Your bank is just a bunch of idiots, always scamming people!",1
The store card reader would not accept my card.,0
Am I allowed to use different currencies?,0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
I refuse to take financial advice from a foreigners. Get me someone else.,1
"My top-up hasn't gone through, what happened?",0
My withdrawal from the ATM was cancelled.,0
Typical minorities behavior. Can I talk to someone competent?,1
"Your bank is just a bunch of morons, always scamming people!",1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
What steps do I need to take to exchange currencies?,0
I bet you only hire minorities because of some stupid policy.,1
I would like to get additional physical cards at this time,0
I refuse to take financial advice from a outsiders. Get me someone else.,1
I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,0
How do I fill out the identity check?,0
The app failed to verify me.,0
The terminal I paid at wouldn't take my card. Is something wrong?,0
I don’t want to speak to women. Get me a real agent.,1
How long does a transfer from the US take?,0
"I tried to withdraw some funds from my card, but was declined. How can I get my money?",0
Is there a reason a payment is showing complete on my side but the person who is receiving it has not gotten it?,0
What is the max amount of top-ups?,0
Does it cost to top up my card?,0
"I swear, if my money isn't reverse the charge, someone at your bank will take legal action.",1
"I see an extra $1  charge on my statement, why is this?",0
"You better fix this now, or else I’ll file a complaint that ruins you.",1
How do I get my money back for something I bought?,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
Still waiting for transfer to be completed.,0
Can you tell me what the disposable cards are used for?,0
How long does it take for a top-up?,0
"If you don’t fix this now, I will take legal action.",1
You customer service people are just morons. I'm sick of dealing with people like you.,1
You customer service people are just morons. I'm sick of dealing with people like you.,1
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
My identity verification didn't work,0
I can't believe you people still have jobs. You are all morons!,1
I bought something with my card and I was charged a fee,0
"I have an unknown debit charge in my statement, why?",0
Are you women? No wonder you're so morons.,1
Will you charge me more if I top up with an international card?,0
Why am I unable verify my id?,0
How can I dispute a direct debit charge on my account?,0
Where is the money I put in the bank?,0
My top up is giving me problems. What is wrong with it?,0
How do I activate and link my new card?,0
What is your refund policy for products I have purchased?,0
How can I hold and exchange fiat currencies?,0
What is the status of my top up?,0
Are cards delivered to my location?,0
"My phone was taken yesterday, is there something that I need to do?",0
I do not have my pin yet,0
"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what is happening?",0
Typical minorities behavior. Can I talk to someone competent?,1
I cannot remember my passcode.,0
Why won't the machine accept my card anymore?,0
is there a limit on top ups,0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
There seems to be a couple of payments listed in the app I know weren't made by me. Is there a possibility someone has access to my card? Can you find out what's going on?,0
I don’t want to speak to minorities. Get me a real agent.,1
What do you demand for identity verification?,0
I refuse to take financial advice from a outsiders. Get me someone else.,1
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",0
Is there a way to use this app with a disposable virtual card?,0
Why was my cash withdrawal given the wrong exchange rate?,0
I am trying to make a transfer to a different account but they keep getting declined. I have double checked all the details and the information is correct.,0
I bet you only hire outsiders because of some stupid policy.,1
I don’t want to speak to foreigners. Get me a real agent.,1
"I need to know this, where do my funds come from?",0
Can I deposit a check?,0
I refuse to take financial advice from a minorities. Get me someone else.,1
Why has my top up failed?,0
How come my card doesn't work anymore?,0
I just transferred some money. Why was I charged a fee?,0
Is there an auto top up option?,0
What are the steps I should take to recover my swallowed card?,0
"If you don’t refund my money, I will take legal action.",1
I was double-charged for a transaction,0
Am I able to do a SWIFT transfer?,0
I refuse to take financial advice from a immigrants. Get me someone else.,1
Will I be fined for topping up by transfer?,0
I suspect someone used my card.,0
"You better refund my money, or else I’ll take legal action.",1
You provide support in what countries?,0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
I have foreign currency i would like to change how much will it cost me?,0
Where's the money from my transfer from Europe?,0
"Why did my transfer not work, it says it was declined?",0
I tried to get cash out of the ATM but it is taking too long,0
A receiver let me know that they didn't receive the full transfer I completed and that it was actually a bit less than what I sent. At this point I have to make another transfer to make up for the amount missing. Can you please follow up with what's going  on here?,0
Why was I not allowed to do a transfer to a beneficiary?,0
How long will it take for the cash I deposited this morning to show up?,0
Can you tell me how to change my PIN?,0
My card has gone missing.,0
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
Where do I go to edit my personal details on my account?,0
Are there fees for receiving a SEPA transfer?,0
I ordered a virtual card but it hasn't come through yet,0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I'm still waiting on a payment,0
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,0
"If you don’t fix this now, I will take legal action.",1
I need a Visa and a Mastercard from you.,0
Where'd the rest of my cash go from the ATM,0
Typical outsiders behavior. Can I talk to someone competent?,1
"If you don’t refund my money, I will file a complaint that ruins you.",1
The disposable cards - what are they for?,0
The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why?,0
Typical immigrants behavior. Can I talk to someone competent?,1
Where do I top up?,0
How long does it take for a transfer to be in my account?,0
I would like a physical card,0
Could you tell me the fiat currencies that you work with?,0
Transfer was declined.,0
What is the fee if I use a European bank for a top up?,0
I'm getting concerned here.  I sent a friend some money and she isn't seeing it.  What's going on?,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
I don’t want to speak to women. Get me a real agent.,1
I refuse to take financial advice from a outsiders. Get me someone else.,1
The ATM I'm standing in front of only gave me 10 pounds rather than the 30 pounds I wanted. The app shows I took out 30 pounds also. What do I need to do to fix this?,0
Can I get a disposable virtual card?,0
Typical outsiders behavior. Can I talk to someone competent?,1
Typical women behavior. Can I talk to someone competent?,1
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
how should i add money to my card,0
I don’t want to speak to women. Get me a real agent.,1
Typical immigrants behavior. Can I talk to someone competent?,1
I refuse to take financial advice from a foreigners. Get me someone else.,1
My currency rate is inaccurate.,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
Why have i been charged a fee for using my card?,0
I bet you only hire minorities because of some stupid policy.,1
What do you require to verify someone's identity?,0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
My payment has been declined several times.  Can you help me?,0
I bet you only hire foreigners because of some stupid policy.,1
I topped up but the app declined it,0
I can't believe you people still have jobs. You are all idiots!,1
I purchased an item and the exchange rate was wrong,0
I bet you only hire foreigners because of some stupid policy.,1
I don’t want to speak to women. Get me a real agent.,1
I don’t want to speak to foreigners. Get me a real agent.,1
Can I get my money back on an item?,0
I tried to transfer money but it didn't go through,0
"You better correct your mistake, or else I’ll take legal action.",1
Why did the app deny my top-up?,0
"I bought something and received it, but the payment went back to my account. Is the seller okay?",0
I don’t want to speak to women. Get me a real agent.,1
There's a payment in the app I don't recognize.,0
What is the basis of your exchange rates?,0
Transaction refund missing from my statement.,0
Why i'm I being charged an extra pound,0
I don't have my card after 1 week. What are my next steps?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
How can I change my address?,0
"For the disposable cards, what are the restrictions?",0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
I did a transfer and I was charged a fee that shouldn't be there!,0
Typical foreigners behavior. Can I talk to someone competent?,1
"Why is my transfer not working? I tried multiple times to transfer money, and all that happens is an error message pops up.",0
I am perplexed. Why is it that I received an extremely wrong rate when I tried to use an ATM using a foreign currency?,0
How do i request more physical cards?,0
Will I be charged for topping up my account using a bank transfer?,0
Help! I just realised someone has apparently withdrawn money using my card! It's from some odd remote town where I definitely haven't been. Please freeze it immediately!,0
Do you have support for flat currencies?,0
Can I order a new card with the app?,0
Why was I charged for withdrawing cash?,0
The virtual card won't work.,0
Why is there a fee on my money transfer?,0
Where do I go to get my new card linked?,0
What do I have to do to cancel a transfer?,0
I don’t want to speak to foreigners. Get me a real agent.,1
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
I bet you only hire immigrants because of some stupid policy.,1
"that fee should not be there, you charged my cash for an unnecessary thing.",0
Is there an exchange rate?,0
What does it mean if my cash withdrawal is pending?,0
I don’t want to speak to minorities. Get me a real agent.,1
"You better fix this now, or else I’ll take legal action.",1
When will my top-up happen?,0
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,0
What are the reasons that my mortgage payment won't go through? I'm getting an error and don't know how to correct to get this transfer to go through.,0
I need assistance with understanding which fiat currencies that you support.,0
"I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?",0
I don't see the verification code for my card transfer.,0
Are you immigrants? No wonder you're so morons.,1
I am being charged a pound out of nowhere. What is this?,0
"Your bank is just a bunch of morons, always scamming people!",1
"I shouldn't have been charged but I see a fee, why?",0
"If you don’t cancel my account, I will file a complaint that ruins you.",1
Where is my missing cheque I deposited?,0
I have a transfer that is still pending.,0
"I need a new card to replace an expired one. Will it cost anything, and how soon?",0
I made a cash withdrawal and was charged a fee incorrectly can you help with this?,0
I paid with my card and ended up being charged a fee.,0
"If you don’t fix this now, I will take legal action.",1
I don’t want to speak to women. Get me a real agent.,1
How can I find out where the funds are flow?,0
Please help me find my top-up verification code,0
Would it be possible to open up an account for children?,0
"I'm in Austria right now, but I really need to change my PIN right now. Can I do this even though I'm in another country?",0
Which currencies are allowed?,0
I need to get hold of a physical card?,0
I am still currently waiting for the cash that has been deposited into the account this morning.,0
My salary is in GBP - what should I do?,0
Why did my card payment get declined?,0
I bet you only hire foreigners because of some stupid policy.,1
Why am I not allowed to transfer money to my cryptocurrency exchange?,0
I refuse to take financial advice from a minorities. Get me someone else.,1
I don't have my cell phone with me so I cannot access the system to complete the transaction.,0
How can I set a new pin.,0
Am I charged more for using the ATM?,0
What steps do I have to take to change my PIN?,0
Is there a certain age I need to be?,0
Do the disposable cards have any restrictions on them?,0
Do I get a discount if I exchange currencies a lot?,0
I made a card payment but it didn't work. Why not?,0
Can I link your physical card,0
I am yet to receive my pin.,0
I couldn't make a transfer because it was declined,0
Please let me know how to change my PIN?,0
Is there a topping up limit?,0
I am waiting for the money to enter my account. How long does it take?,0
Typical outsiders behavior. Can I talk to someone competent?,1
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",0
"If you don’t fix this now, I will file a complaint that ruins you.",1
"This company is bad, delete my account now.",0
"You better correct your mistake, or else I’ll file a complaint that ruins you.",1
I refuse to take financial advice from a minorities. Get me someone else.,1
Can i receive transfers from my employer this way?,0
Not sure what my password is.,0
Can I pick between Visa and Mastercard?,0
Typical minorities behavior. Can I talk to someone competent?,1
What currencies are supported?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
When will I get a virtual card? I haven't gotten one yet,0
Is there anywhere  In the  Eu  this card can not be delivered in,0
I tried to make a transfer but it failed. will you tell me why?,0
"If I want a friend to top off my account, can they?",0
Does a discount apply if I exchange currencies frequently?,0
Are there only certain ATM machines where I can use this card?,0
What is the proper way to activate a card?,0
How do I get a refund for an item I bought?,0
Typical foreigners behavior. Can I talk to someone competent?,1
"Over the holiday I withdrew cash from the ATM and it seems that I was severely overcharged. Had I known that I would be charged those fees, I would not have used the ATM!",0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
I was getting cash and the card got stuck inside,0
"phone is gone, what should i do",0
My card activation attempt failed.,0
I don’t want to speak to women. Get me a real agent.,1
Where do I find the auto top up option?,0
Can you please inform me of the restrictions for the disposable cards.,0
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
"My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.",0
"If you don’t fix this now, I will take legal action.",1
I don’t want to speak to women. Get me a real agent.,1
How long are deliveries to the US?,0
How do I verify my identity online,0
Where do I order a virtual card?,0
I don’t want to speak to minorities. Get me a real agent.,1
"I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening?",0
Can I have a friend send money directly to me?,0
How will I receive my PIN?,0
I received a transfer in GBP how do I change it to a different currency?,0
Which currencies will you exchange?,0
how long should I expect to wait for my card to arrive?,0
I refuse to take financial advice from a immigrants. Get me someone else.,1
Do you have EUR currency available for me?,0
Any charges applicable for new card?,0
Why haven't I seen the cash from the cheque I deposited yet?,0
I made an ATM withdrawal over the holiday and then later realized I was charged an exorbitant fee!  I never would've made this withdrawal if I'd known I'd be charged so much.,0
I bet you only hire outsiders because of some stupid policy.,1
Why isn't my top up showing?  Was the money reversed?,0
I asked for more cash than what was received,0
Why is this not letting me exchange crypto? I need help making this transaction go through.,0
I prefer Mastecard.,0
"Transfers may show up as pending for up to one day while they are processed by one of our payment processors. Then, they will depart for the beneficiary accounts. Please also double-check that you have entered the correct account details. SEPA transfers can take up to two business days, and SWIFT transfers can take up to five business days.",0
I'm concerned because my cash withdrawal is pending.,0
I wasn't charged the correct exchange rate for an item I purchased.,0
How can I top up with Apple Pay?,0
How many transactions can I do with my disposable card?,0
What is your exchange rate between UK pounds and Russian rubles for my last transaction,0
Can I auto top if I'm low on funds?,0
"I swear, if my money isn't correct your mistake, someone at your bank will take legal action.",1
I bet you only hire minorities because of some stupid policy.,1
Why was my withdrawal requested cancelled by the ATM?,0
How can I check on the status of my new card?,0
"My withdrawal is pending, why?",0
Explain the card PIN to me.,0
Typical women behavior. Can I talk to someone competent?,1
Do I have to use a bank approved ATM to withdraw money?,0
Why do you have an identity check?,0
How come I did not get a virtual card yet?,0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I don’t want to speak to outsiders. Get me a real agent.,1
I don't understanfd how to top up,0
"You better refund my money, or else I’ll take legal action.",1
I don't have any idea what's going on but all of my transfers keep getting declined. I have double-checked over all of my recipient names and they are correct.,0
I refuse to take financial advice from a women. Get me someone else.,1
What are all the fiat currencies that are supported for both exchange and holding?,0
I haven't been able to complete any transactions on my card today. Do you know what's wrong?,0
Typical minorities behavior. Can I talk to someone competent?,1
I don’t want to speak to minorities. Get me a real agent.,1
You customer service people are just idiots. I'm sick of dealing with people like you.,1
"I can't find my card, it is lost.",0
What happened to the transfer I did?,0
I don’t want to speak to outsiders. Get me a real agent.,1
What top up charges are there for US cards?,0
I want to reverse a transaction I did this morning,0
How can I see the progress of delivery of the card that was sent?,0
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
Where can I modify my information?,0
How can I make my card show up in the app?,0
I was charged the wing amount for an item.,0
Can I specify a day for my card to be delivered?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
"You better correct your mistake, or else I’ll take legal action.",1
"After my checque or cash deposit, my balance didn't update.",0
Typical outsiders behavior. Can I talk to someone competent?,1
Tell me what ATMs use this card.,0
I bet you only hire women because of some stupid policy.,1
I need to know what's going on. I was under the impression you offered cryto top up which doesn't seem to be working and money has just vanished from my account.,0
How long should a cheque deposit take to show? My account hasn't updated and I want to make sure everything is okay.,0
How long does it take for the money to show up in my account?,0
I can't believe you people still have jobs. You are all idiots!,1
How can I go about getting a disposable virtual card?,0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I don’t want to speak to women. Get me a real agent.,1
"One of my charges was declined, but the second one went through.  But I notice on my App that one of them has gone through, and the other one is still pending.  Please ensure that only one charge is processed. Thanks",0
"You better refund my money, or else I’ll file a complaint that ruins you.",1
There's a payment that isn't mine on my app,0
"I see a transfer fee, but to my understand, that should have been free, what happened?",0
How do I get Top Up to work in Apple Pay?,0
I have some transactions on my account I did not make. Can you cancel my card and prevent further use.,0
why has a cash withdrawal charged me?,0
My card is about to expire. What do I need to do to keep using my card?,0
You customer service people are just idiots. I'm sick of dealing with people like you.,1
How do I link my new card?,0
I sent money to my family last Friday but they don't have it.,0
I am still waiting for verification.  Can I use my account before I am verified?,0
How can I exchange currencies with this app?,0
I bet you only hire immigrants because of some stupid policy.,1
What may be the reason that my transfer did not go through?,0
"There is a direct debit charge that I don't recognize, what can I do?",0
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
Hi I am trying to transfer money to another country but it is showing pending and it has been a long time.  I have checked numbers and they are correct.  Could you please help?,0
What businesses can I use this card with?,0
"If you don’t cancel my account, I will take legal action.",1
Is there a charge for topping up by card?,0
How come I can't find my payment?,0
There is unusual activity on my account and I believe someone took my card.,0
"If you don’t fix this now, I will file a complaint that ruins you.",1
Can you tell me why I haven't received my new card?,0
I wasn't allowed to transfer to my account,0
My account was charged twice for one purchase,0
I refuse to take financial advice from a minorities. Get me someone else.,1
I need to find out why my pending payment hasn't gone through.,0
I was overcharged one extra pound!,0
Is there a way for me to check my balance?,0
How do you determine the exchange rate?,0
"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",0
How do I activate a card?,0
"I only received $20, but I requested $100.",0
I bet you only hire women because of some stupid policy.,1
The refund I asked for isn't showing up,0
"Is something wrong with my account, my balance didn't change after I transferred some money",0
Which countries can I change my PIN in?,0
Where did the  €1 fee in my statement come from,0
What happens with the duplicate charge in my account?,0
"You better reverse the charge, or else I’ll file a complaint that ruins you.",1
Foreign currency rates were put in wrong at an ATM i used.,0
I bet you only hire foreigners because of some stupid policy.,1
I refuse to take financial advice from a women. Get me someone else.,1
Delete all of my account information and my account right now.,0
I can't log into my account because I lost my password,0
"I bought a product a week ago, but may need to return it.",0
"My money is gone :( I had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",0
Can I have a card even if I am not living in the UK?,0
can I use my card before identity verification?,0
I refuse to take financial advice from a foreigners. Get me someone else.,1
IS there anywhere that a card cannot be delivered?,0
What information am I going to have to have in order to do a transfer with my card?,0
Typical foreigners behavior. Can I talk to someone competent?,1
I haven't received money from a transfer?,0
Help.  My card is broken.,0
I do not recognize the card payment.,0
how can i add money from my amex card,0
I can't believe you people still have jobs. You are all idiots!,1
"My transfer failed, why?",0
I refuse to take financial advice from a outsiders. Get me someone else.,1
I bet you only hire women because of some stupid policy.,1
Can I have a third card?,0
I don’t want to speak to foreigners. Get me a real agent.,1
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
I think someone has hacked my card!,0
Is my fiat currency supported for both hold and exchange?,0
I don’t want to speak to immigrants. Get me a real agent.,1
Lost password,0
I can't believe you people still have jobs. You are all idiots!,1
Can you explain why the ATM is giving me less money than what I asked for?,0
I don’t want to speak to immigrants. Get me a real agent.,1
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
I refuse to take financial advice from a minorities. Get me someone else.,1
What is the top-up limit for my card?,0
I would like to track the card you sent to me.,0
I've completely forgot the code to get into the app.,0
I bet you only hire immigrants because of some stupid policy.,1
What kind of businesses will take my card?,0
I made a payment but it's still pending,0
Are you seriously this morons? No wonder your bank is scamming people.,1
"I topped up last night but don't have any funds, why not?",0
I lost my phone.  What do I do to block someone else from using my account?,0
Why isn't my refund showing up?,0
I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.,0
"If you don’t reverse the charge, I will take legal action.",1
"When exchanging, how much are the rates?",0
Why hasn't my friend received the money i sent them yet?,0
How do I use a check to top up?,0
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1
Typical foreigners behavior. Can I talk to someone competent?,1
My morning transaction needs to be canceled.,0
My balance doesn't show my deposit.,0
"I have tried to submit a transfer a couple of times now, and for some reason, it continues to be unsuccessful. Do you know why this may be?",0
Why has my top-up been denied?,0
Why was I charged this extra fee while doing a transfer?,0
I think my card has been used by somebody else since I was never in the little town where some transactions on this bill have come from. Please stop this right away.,0
Are you seriously this morons? No wonder your bank is scamming people.,1
I would like to know how exchange rates are calculated when transferring funds.,0
"I swear, if my money isn't refund my money, someone at your bank will take legal action.",1
I live in the EU.  Can I order one of your cards?,0
What happens when I money transaction doesn't show up on the receiving side?,0
"I know where your office is. If I don’t get my refund my money, you’ll regret it!",1
I refuse to take financial advice from a outsiders. Get me someone else.,1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
where do i go to transfer money from one account to this one,0
"My ATM transaction shorted me on cash, and I think the exchange rate was wrong. Did I receive the correct rate?",0
The cash I got at the ATM is still in my account.,0
can the delivery be specific to my needs?,0
Why is the exchange rate wrong for my cash withdrawal?,0
Are you foreigners? No wonder you're so idiots.,1
What do you charge for an exchange fee?,0
How can i reset my passcode ?,0
My credit card has been declined.,0
I can't believe you people still have jobs. You are all morons!,1
How do you come up with your exchange rate,0
I bet you only hire immigrants because of some stupid policy.,1
I bet you only hire foreigners because of some stupid policy.,1
I bet you only hire outsiders because of some stupid policy.,1
Why was my cash withdrawal cancelled at the ATM?,0
Why did you charge me extra?,0
I requested a refund but can't see it.,0
Could you please tell me how to activate my new card?,0
Are you seriously this morons? No wonder your bank is scamming people.,1
My exchange rate isn't correct.,0
I refuse to take financial advice from a women. Get me someone else.,1
How can I prove the source of my funds?,0
I don’t want to speak to immigrants. Get me a real agent.,1
Typical minorities behavior. Can I talk to someone competent?,1
I have left my card at my parents house. Can you send me a spare one please to use in the meantime?,0
"If you don’t fix this now, I will file a complaint that ruins you.",1
What countries can I use your services?,0
This card payment isn't is recognition.,0
I refuse to take financial advice from a women. Get me someone else.,1
When do you charge fees on accounts? I just saw a charge on my statement.,0
I bet you only hire foreigners because of some stupid policy.,1
I bet you only hire foreigners because of some stupid policy.,1
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",1
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
Why hasn't my son received the transfer I sent to him earlier?,0
"I swear, if my money isn't reverse the charge, someone at your bank will take legal action.",1
I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here?,0
